id	label	length	num_loops	max_loop_size	bulge_count	bulge_chain_count	bulge_density	mfe
Hsa-Let-7-P1b_pre	1	67	6	7	6.0	5.0	0.08955223880597014	-29.2
Hsa-Let-7-P1c_pre	1	67	10	3	10.0	9.0	0.14925373134328357	-22.1
Hsa-Let-7-P1d_pre	1	67	6	9	6.0	5.0	0.08955223880597014	-22.5
Hsa-Let-7-P2a1_pre	1	72	4	5	4.0	3.0	0.05555555555555555	-29.1
Hsa-Let-7-P2a2_pre	1	69	2	9	2.0	1.0	0.028985507246376812	-29.9
Hsa-Let-7-P2a3_pre	1	71	2	8	2.0	1.0	0.028169014084507043	-27.4
Hsa-Let-7-P2b1_pre	1	77	2	9	2.0	1.0	0.025974025974025976	-37.9
Hsa-Let-7-P2b2_pre	1	75	4	5	4.0	3.0	0.05333333333333334	-38.9
Hsa-Let-7-P2b3_pre	1	79	4	11	4.0	3.0	0.05063291139240506	-31.5
Hsa-Let-7-P2c1_pre	1	75	5	10	5.0	4.0	0.06666666666666667	-34.3
Hsa-Let-7-P2c2_pre	1	77	5	9	5.0	4.0	0.06493506493506493	-36.3
Hsa-Let-7-P2c3_pre	1	78	7	5	7.0	6.0	0.08974358974358974	-33.8
Hsa-Mir-1-P1_pre	1	61	5	8	5.0	4.0	0.08196721311475409	-20.8
Hsa-Mir-1-P2_pre	1	60	6	6	6.0	5.0	0.1	-22.2
Hsa-Mir-1-P3_pre	1	61	4	5	4.0	3.0	0.06557377049180328	-23.6
Hsa-Mir-7-P1_pre	1	62	7	12	7.0	6.0	0.11290322580645161	-19.3
Hsa-Mir-7-P2_pre	1	64	6	4	6.0	5.0	0.09375	-24.9
Hsa-Mir-7-P4_pre	1	60	9	6	9.0	8.0	0.15	-15.7
Hsa-Mir-8-P1a_pre	1	59	5	6	5.0	4.0	0.0847457627118644	-25.3
Hsa-Mir-8-P1b_pre	1	62	7	8	7.0	6.0	0.11290322580645161	-27.8
Hsa-Mir-8-P2a_pre	1	61	3	11	3.0	2.0	0.04918032786885246	-27.9
Hsa-Mir-8-P2b_pre	1	65	6	7	6.0	5.0	0.09230769230769231	-26.4
Hsa-Mir-8-P3a_pre	1	57	5	10	5.0	4.0	0.08771929824561403	-20.8
Hsa-Mir-9-P1_pre	1	62	5	6	5.0	4.0	0.08064516129032258	-30.0
Hsa-Mir-9-P2_pre	1	60	4	7	4.0	3.0	0.06666666666666667	-25.8
Hsa-Mir-9-P3_pre	1	62	7	4	7.0	6.0	0.11290322580645161	-26.6
Hsa-Mir-10-P1b-v1_pre	1	62	8	4	8.0	7.0	0.12903225806451613	-23.4
Hsa-Mir-10-P1c-v1_pre	1	63	5	16	5.0	4.0	0.07936507936507936	-22.9
Hsa-Mir-10-P2b_pre	1	60	9	4	9.0	8.0	0.15	-23.4
Hsa-Mir-10-P2c_pre	1	59	6	8	6.0	5.0	0.1016949152542373	-25.9
Hsa-Mir-10-P2d_pre	1	57	7	11	7.0	6.0	0.12280701754385964	-18.4
Hsa-Mir-10-P3b_pre	1	60	6	4	6.0	5.0	0.1	-25.9
Hsa-Mir-10-P3c_pre	1	61	7	9	7.0	6.0	0.11475409836065574	-23.8
Hsa-Mir-10-P3d_pre	1	62	6	5	6.0	5.0	0.0967741935483871	-25.6
Hsa-Mir-15-P1a_pre	1	59	3	13	3.0	2.0	0.05084745762711865	-24.8
Hsa-Mir-15-P1b_pre	1	60	8	7	8.0	7.0	0.13333333333333333	-18.0
Hsa-Mir-15-P1c_pre	1	59	5	3	5.0	4.0	0.0847457627118644	-26.5
Hsa-Mir-15-P1d_pre	1	62	8	6	8.0	7.0	0.12903225806451613	-28.1
